Stock Name,Exchange,Token,Type,Quantity,Average Price,CMP,PC,Day High,Volume,D%,DH%,SAlert,Total Invested,Current Value,Net P&L,ROI (%)
ANANTRAJ,NSE,13620,Holding,60.0,652.09,598.35,608.85,604.45,2041960,-1.7245627001724562,-0.722673893405597,-1.019470209743465,39125.4,35901.0,-3224.4000000000015,-8.241193700256103
IRCON,NSE,4986,Holding,50.0,237.18,113.26,115.21,114.9,1556241,-1.6925614095998514,-0.269073865115865,-1.447995761963624,11859.0,5663.0,-6196.0,-52.24723838434944
NIFTYBEES,NSE,10576,Holding,50.0,280.98,267.14,267.17,268.6,9238422,-0.011228805629385618,0.5352397350001896,-0.5465299094108095,14049.0,13357.0,-692.0,-4.925617481671293
TATSILV,NSE,21428,Holding,500.0,23.43,21.99,22.69,22.13,73279808,-3.085059497576037,-2.4680475980608296,-0.6366530241018671,11715.0,10995.0,-720.0,-6.1459667093469905
PCJEWELLER,NSE,29124,Watchlist,0.0,0.0,13.7,13.83,13.92,420161544,-0.9399855386840258,0.6507592190889361,-1.605839416058399,0.0,0.0,0.0,0.0
PKTEA,NSE,10321,Watchlist,0.0,0.0,1121.75,1094.2,1150.0,25219,2.517821239261557,5.099616157923593,-2.518386449743704,0.0,0.0,0.0,0.0
HIKAL,NSE,9668,Watchlist,0.0,0.0,224.95,234.78,232.39,902881,-4.186898372944889,-1.0179742737882336,-3.307401644809957,0.0,0.0,0.0,0.0
CLEAN,NSE,5049,Watchlist,0.0,0.0,842.05,848.45,851.2,371357,-0.75431669514999,0.3241204549472567,-1.0866338103438147,0.0,0.0,0.0,0.0
FINCABLES,NSE,1038,Watchlist,0.0,0.0,1424.0,1418.4,1498.0,3358636,0.3948110547095254,5.611957134799768,-5.196629213483146,0.0,0.0,0.0,0.0
EIEL,NSE,27213,Watchlist,0.0,0.0,207.11,211.65,209.0,1550750,-2.145050791400894,-1.2520670918970025,-0.9125585437690049,0.0,0.0,0.0,0.0
WABAG,NSE,20188,Watchlist,0.0,0.0,2277.9,2211.8,2319.0,2231415,2.988516140699878,4.846731169183462,-1.8042934281575094,0.0,0.0,0.0,0.0
